Id,Main_city_center,oefua_id
9612,1,IND09157
9616,0,IND09157
9668,0,IND09157
9390,1,IND08896
9054,0,IND08497
9106,0,IND08497
9108,1,IND08497
9112,0,IND08497
3823,1,IND03722
9996,1,IND09564
6178,1,IND06016
10176,1,IND09732
10540,0,IND10017
10586,1,IND10017
10792,0,IND10142
10796,1,IND10142
10806,0,IND10142
10824,0,IND10142
10250,0,IND09834
10290,1,IND09834
8662,0,IND07961
8672,1,IND07961
11066,0,IND10313
11080,1,IND10313
11090,0,IND10313
11128,0,IND10313
6143,1,IND05991
6161,0,IND05991
6280,0,IND05991
9466,1,IND09007
9500,0,IND09007
8234,1,IND07601
10074,1,IND09620
10080,0,IND09620
9510,1,IND09069
9380,0,IND08900
9386,1,IND08900
8012,1,IND07499
9814,1,IND09376
8565,1,IND07839
10970,1,IND10237
8866,1,IND08226
9978,1,IND09544
10832,1,IND10168
9620,1,IND09165
9624,0,IND09165
9230,1,IND08673
9524,1,IND09045
9630,0,IND09045
10224,1,IND09794
10228,0,IND09794
11032,1,IND10285
11334,0,IND10452
11346,0,IND10452
11352,1,IND10452
11384,0,IND10452
11394,0,IND10452
11396,0,IND10452
11406,0,IND10452
11416,0,IND10452
11422,0,IND10452
11424,0,IND10452
7599,1,IND07163
7739,0,IND07163
7767,0,IND07163
4509,1,IDN04090
4968,1,IDN04395
1646,1,IDN01596
1738,0,IDN01596
1998,0,IDN01596
6695,1,IDN05834
5684,0,IDN05107
5706,0,IDN05107
5748,1,IDN05107
5928,0,IDN05107
5947,0,IDN05107
7441,0,IDN06401
7459,1,IDN06401
7468,0,IDN06401
7486,0,IDN06401
7495,0,IDN06401
7504,0,IDN06401
7513,0,IDN06401
7531,0,IDN06401
6785,1,IDN05906
6874,0,IDN05906
6972,0,IDN05906
3586,1,IDN03255
6845,1,IDN05918
6888,0,IDN05918
6944,0,IDN05918
6958,0,IDN05918
6985,0,IDN05918
7011,0,IDN05918
7024,0,IDN05918
7037,0,IDN05918
7790,1,IDN06674
7825,0,IDN06674
5152,0,IDN04593
5181,1,IDN04593
3096,1,IDN02706
5472,1,IDN04897
5639,0,IDN04897
5727,0,IDN04897
5769,0,IDN04897
342,1,LAO00273
5982,0,BGD03705
6000,0,BGD03705
6018,0,BGD03705
6054,0,BGD03705
6072,0,BGD03705
6090,1,BGD03705
6196,0,BGD03705
6264,0,BGD03705
6345,0,BGD03705
2155,1,BGD01749
2724,0,BGD01749
7439,1,BGD04833
7457,0,BGD04833
7475,0,BGD04833
5906,1,BGD03529
1741,1,KHM00976
10159,1,CHN09030
11079,1,CHN09871
11115,0,CHN09871
9821,0,CHN08717
9843,1,CHN08717
9891,0,CHN08717
9903,0,CHN08717
9917,0,CHN08717
9939,1,CHN08809
10849,1,CHN09711B
10891,0,CHN09711B
10907,0,CHN09711B
10913,0,CHN09711B
10921,0,CHN09711B
