Id,Main_city_center,oefua_id
5349,1,USM31
7312,1,USM44
7342,0,USM44
3129,0,USM18
3696,0,USM18
3781,0,USM18
3857,1,USM18
7287,1,USM82
4881,1,USM47
7141,1,USM32
6259,1,USM103
5804,1,USM73
6769,1,USM40
6180,1,USM51
7195,1,USM57
6192,1,USM23
7165,1,USM14
7177,0,USM14
6790,1,USM29
7050,1,USM50
5853,1,USM84
5332,1,USM07
6845,1,USM68
4278,1,USM49
4444,1,USM17
2676,1,USM67
6996,1,USM101
7292,1,USM64
7337,0,USM03
7347,1,USM03
7352,0,USM03
7362,0,USM03
7372,0,USM03
6237,1,USM24
6332,0,USM24
7129,1,USM58
6809,1,USM85
2204,1,USM19
6574,1,USM37
6622,0,USM37
6720,1,USM36
6119,1,USM89
6948,1,USM08
6899,1,USM70
6851,1,USM04
5315,1,USM102
6869,0,USM79
6881,1,USM79
4914,1,USM65
5511,1,USM09
7020,1,USM16
6893,1,USM106
3282,0,USM46
3566,0,USM46
3652,1,USM46
5961,1,USM28
2612,0,USM60
2915,0,USM60
2970,1,USM60
3380,0,USM60
5791,1,USM107
6942,1,USM55
6654,1,USM05
6741,0,USM05
6887,1,USM33
7068,1,USM25
7098,0,USM25
6226,1,USM86
6433,1,USM12
6047,1,USM39
1642,1,USM10
2276,0,USM10
2859,0,USM10
1031,1,USM59
1255,1,USM20
1980,0,USM20
2413,0,USM20
952,1,ES022C
83,1,ISL001C
415,1,IE001C
947,1,DZA00947
3145,1,DZA03145
1160,1,BE002C
657,1,BE003C
1656,1,BE005C
1372,1,BE004C
1269,1,BE001C
3865,1,CANG_1
3353,1,FR022C
3541,1,FR010C
3798,1,FR020C
2639,1,FR019C
1680,1,FR023C
1397,1,FR007C
2085,1,FR035C
954,1,FR008C
2304,1,FR004C
3718,1,FR003C
3911,1,FR203C
2507,0,FR001C
2702,1,FR001C
3149,0,FR001C
3200,1,FR009C
3628,1,FR011C
824,1,FR013C
2159,1,FR215C
3315,1,MAR03315
2317,1,MAR02317
1515,1,MAR01515
581,1,MAR00581
3457,1,MAR03457
1785,1,MAR01785
3845,1,MAR03845
1793,1,NL004C
1427,1,NL002C
1706,0,NL002C
1956,0,NL002C
2032,0,NL002C
2254,1,NL005C
131,1,NO002C
310,1,PT001C
746,0,PT001C
1003,1,PT002C
4122,1,ES021C
395,1,ES025C
1069,1,ES026C
3539,1,ES019C
4156,1,ES003C
2008,1,ES004C
2991,0,ES001C
3147,1,ES001C
4457,0,ES002C
4523,1,ES002C
3982,1,ES005C
2822,1,ES006C
3909,1,ES007C
2881,1,ES009C
543,1,ES008C
4589,1,ES010C
3300,1,ES501C
3949,1,UK016C
2508,0,UK011C
3099,1,UK011C
5550,1,UK017C
3799,1,UK002C
4193,0,UK002C
4159,1,UK003C
4526,0,UK003C
547,0,UK004C
955,1,UK004C
3304,1,UK008C
3448,0,UK008C
2374,1,UK006C
2640,0,UK006C
4792,1,UK560C
4892,0,UK014C
4925,1,UK014C
2011,0,UK007C
2305,1,UK007C
2086,1,UK009C
4294,0,UK025C
4328,1,UK025C
4817,0,UK025C
5067,1,UK528C
4460,1,UK010C
4227,1,UK013C
5288,1,UK001C
5615,0,UK001C
5679,0,UK001C
5422,1,UK026C
3912,1,UK539C
4767,1,UK029C
242,1,UK012C
400,0,UK012C
799,1,BLR00799
1569,1,BLR01569
282,1,MDA00282
4397,1,IRN04397
103,1,LU001C
441,1,MKD00441
114,1,MT001C
826,1,GEO00826
44,1,DE507C
4520,1,DE033C
4788,1,DE008C
3041,1,DE084C
1761,1,DE504C
3093,1,DE005C
815,1,DE011C
3667,1,DE013C
1064,1,DE004C
4388,1,DE032C
2988,1,DE035C
2435,1,DE027C
3942,1,DE039C
4288,1,DE083C
4321,0,DE083C
4946,1,DE001C
3793,1,DE002C
4736,1,DE003C
3580,1,DE007C
4118,0,DE007C
4996,1,DE009C
2877,1,DE012C
4454,1,DE014C
4708,1,DE018C
536,1,DE038C
1926,0,DE038C
959,1,EL001C
552,1,EL002C
964,1,HU001C
4845,1,IRN04845
